family,workflow,instance,instance_scale_tag,instance_label,scheduler,budget_tag,decision_budget_ms,candidate_cap,frontier_cap,n_points,HV,IGD,EPS_ADD,n_runs
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,ECDS,ecds_ref,0.0,0,0,3,0.8022190158657458,0.3655187082229188,0.4708088497151108,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,high,100.0,64,12,1,1.0892083805271124,0.12461666898691437,0.10371747505814216,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,low,20.0,16,6,1,1.0794051994277936,0.13151000417207467,0.11178391910659607,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,medium,50.0,32,8,1,1.0764586983851059,0.12806551778708386,0.10920539602931789,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,very_high,200.0,128,20,1,1.0892083805271124,0.12461666898691437,0.10371747505814216,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,very_low,5.0,8,4,1,1.058552619544874,0.14210477041675065,0.12077993001062874,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,ECDS,ecds_ref,0.0,0,0,3,0.11516042734659215,0.6099046541953416,0.539185241360401,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,MOHEFT,high,100.0,64,12,5,0.817005160768664,0.10081014035391808,0.16164867300057276,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,MOHEFT,low,20.0,16,6,4,0.8886430089998377,0.132613140897039,0.10680421134764284,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,MOHEFT,medium,50.0,32,8,5,0.8767065955421184,0.12378794771182244,0.12498861855670623,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,MOHEFT,very_high,200.0,128,20,5,0.7923178523728325,0.10395137146088915,0.16009269273270263,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,Montage-05d,MOHEFT,very_low,5.0,8,4,4,0.5197373803071949,0.3426321966902967,0.377454706532614,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,ECDS,ecds_ref,0.0,0,0,2,0.8709813581954906,0.2969716152601938,0.3164401515904255,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,MOHEFT,high,100.0,64,12,3,0.48710031153285455,0.4948888546429975,0.6130772831937384,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,MOHEFT,low,20.0,16,6,1,0.3732570337415729,0.5567397919210939,0.710749043234289,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,MOHEFT,medium,50.0,32,8,2,0.6303681518401015,0.42997937633278505,0.5434859407049791,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,MOHEFT,very_high,200.0,128,20,3,0.4551550919917205,0.5050128599785887,0.6365639943376242,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,Seismology-200p,MOHEFT,very_low,5.0,8,4,2,0.2029195947689289,0.6883361114678894,0.8402955527156942,5
