scheduler,scheduler_family,variant,scenario,run_tag,makespan,total_energy,total_carbon,green_ratio,green_energy,brown_energy,avg_utilization,flowtime_sum,n_tasks,unfinished_tasks,scheduler_wallclock_s,scheduler_calls,dispatch_count,event_count,recluster_count,decision_budget_ms,candidate_cap,frontier_cap,task_release_random,task_release_T,w1,w2,w3,w4,workflow,family,instance,instance_scale_tag,seed,trace_path,success,budget_tag,weight_tag,study_group
ECDS,ecds,full,dynamic,ecds_budget_ref,113.694089743587,1220.6275563008624,397.5156441767717,0.44867004742788336,547.6590235772893,672.9685327235212,0.8795074948222197,232734.1303413444,3472,0,1.3551175999455154,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,113.50494999999981,1134.2107997001685,390.88106715871146,0.41074352798962727,465.8697453527837,668.3410543473967,0.7907967011486013,231587.6434333328,3472,0,4.9936105001252145,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,111.64892307692303,1177.958925827055,392.2498420810352,0.43401779386218414,511.25513424772663,666.7037915793451,0.8501652009773921,226310.08912532,3472,0,14.681929599959403,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,111.67226923076899,1176.0985612869963,391.2452040616469,0.43467276138234634,511.2180092924234,664.880551994585,0.8480510829996198,225999.32801955089,3472,0,42.786944000050426,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,111.42711538461543,1187.4509592393085,392.55946906597364,0.43881990492065365,521.0771170313324,666.3738422079957,0.8618983767847569,224966.74133076862,3472,0,30.734185899840668,3472,3472,3472,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,111.41855000000001,1187.907766356567,392.9485794879919,0.438419041247314,520.8013840162844,667.1063823403072,0.8624329705392839,224569.53519968057,3472,0,70.27377160009928,3472,3472,3472,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,1,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,115.85881570512565,1217.5821387239462,395.8781197661946,0.44973073737573543,547.5841130638453,669.9980256600629,0.8596089265144026,242418.39227499792,3472,0,0.4858699000906199,3472,3472,3472,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,115.13219999999973,1139.207164608847,388.63262171913954,0.417713873661293,475.86263763145973,663.3445269773927,0.785986631299057,237282.3305320517,3472,0,1.1115049999207258,3472,3472,3472,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,113.93256250000005,1165.150152010568,388.4753750153311,0.43317542920117735,504.7144171809948,660.4357348295816,0.8201119054218838,235038.670741026,3472,0,3.1016605999320745,3472,3472,3472,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,114.09465384615378,1167.5373943043996,388.64175392939,0.4342538648863998,507.00762587608205,660.5297684283303,0.8221348234899976,234027.1523387817,3472,0,8.874199699843302,3472,3472,3472,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,2,,1,medium,w_50_30_20_00,budget
